,HDA,HBA,HCA,HPRA,FINDER(empirical),FINDER(ba),FINDER(dark),FINDER(covert)
911.gml,0.81440443213,0.78670360111,0.83379501385,0.80609418283,0.83656509695,-,-,-
DOMESTICTERRORWEB.gml,0.86621093750,0.87304687500,0.86621093750,0.86621093750,0.88378906250,0.86816406250,0.86914062500,0.87402343750
suicide.gml,0.92881944444,0.92447916667,0.93142361111,0.92751736111,0.93229166667,0.92968750000,0.92925347222,0.93185763889
HAMBURG_TIE_YEAR.gml,0.80664062500,0.79492187500,0.80761718750,0.79980468750,0.81738281250,0.80273437500,0.80273437500,0.79980468750
HEROIN_DEALING.gml,0.85595567867,0.85110803324,0.83864265928,0.85318559557,0.86565096953,0.85734072022,0.86288088643,0.86357340720
MAIL.gml,0.88888888889,0.88811728395,0.90354938272,0.88117283951,0.90354938272,0.88117283951,0.87885802469,0.87654320988
,,,,,,,,
,,,,,,,,
,,,,,,,,
,*HXA stands for pure heruistic method,,,,,,,
,** parenthesehes stand for types of graph that FINDER are trained on ,,,,,,,
,"*** Eimpirical stands for finetuning FINDER on empircal data set, which performed better as the paper suggested. ",,,,,,,
,,,,,,,,
,]t empircal 聿{程n杭耀,,,,,,,
,ぃ]t empircal 聿{程n杭耀,,,,,,,